*а:	a, и, же, но, как только, чтобы, напротив, да;
*baba:	бабушка, повивальная бабка, пестунья, воспитательница, старуха, теща, пленка в которой появляется на свет ребенок, колбаса из толстой свиной кишки начиненной мясом, пеликан, хищная птица нападающая на кур, повитуха, акушерка, крупная дикорастущая ягода, старое дерево, отверстие в котором ходит ось мельничного жернова, детская игра, деревянная ступица оси мельничного жернова, кормилица, жена, свекровь, тетка, пчелиная матка, божья коровка, самый крупный табачный лист, стропило, балка, опора моста, опора веретена верхнего мельничного жернова, рычаг, подъемная стрела, путевой межевой знак, круглый камешек, изделие из теста (пирожное или булка круглой формы), название разных видов рыб и морских животных, баба, взрослая женщина, гайка, замужняя женщина, разновидность облаков, пугало, бабка с материнской стороны, мать, тетка матери или отца, самка животного, мать отца или матери, ворожея, тяжелый молот, болванка, гиря разного устройства, треног с железным наверху шпилем, на который насаживают воробы, прибор для свивания ниток состоящий из тренога и вращающегося на нем креста со вставленными на его концах веретенами, синяя или зеленая стрекоза, устарелая бесплодная пчелиная матка, моль, бабочка, рыба подкаменщик, род высокого кулича из очень сдобного теста выпекаемого в цилиндрических формах, булка из пшеничной муки имеющая цилиндрическую форму, оладья, лепешка, знахарка, ворожея, нищая, рыба бычек, головач, колода, чурбан с рукоятями для вбивания свай или утрамбовки земли, деревянная колода с полукруглыми выемками для бревен или с ручками которую ставят в сани при перевозке бревен, задняя часть саней, большой шарообразный комок горшечной глины образованный для перевозки глины с места добывания в мастерскую горшечника, трясина, сойка, вид кушанья из теста;
*baba ęga:	баба-яга, злая волшебница и людоедка;
*baba rǫga?:	мифическое существо которым пугают детей;
*bаbаkъ:	птица цапля, растение медвежье ухо, бабник, дикий шалфей, вошь, муж повитухи, страшилище пожирающее детей, женатый раздевуля, застенчивый женатый человек, любитель ухаживать за женщинами
*babĕti:	бабиться, становиться старой бабой, делаться женоподобным, бабиться, изнеживаться, набрякать, отекать, сморщиваться от долгого пребывания в воде (о человеческом теле);
*babiса:	куделя, горсть дурного льна, блона, железа, свиной пузырь, начиненный мясом, пучок мелкого недоброкачественного волокнассвиной желудок, неразвившаяся больная слива, острицы у детей, старуха, старушка, бабушка, акушерка, повивальная бабка, насекомое, вид морского рака, название ряда растений, стебель, наковаленка (брусок) для отбивки кос, столб в постройке, злые духи преследующие маленьких детей, родильная лихорадка, обряд поминовения, самка мелких животных, рыба, белый гриб, вид груши, шелуха, кочерыжка (кукурузы), гайка, крышка, копна, старушка-мать, повитуха, бабы, бабье, бабенка, женщина средних лет, молодая женщина недавно вышедшая замуж, распутная женщина, баба, старуха, растение, боль, колики в животе;
*bаbinъ:	принадлежащий бабе, бабушке, первые дни после родов и связанные с этим обычаи, старушечий, повитухин, бабкин, принадлежащий старухе или повивальной бабке, старухин, бабин, бабий, бабушкин;
*babiti:	помогать при родах, рожать, быть повитухой, быть акушеркой, бабить, быть повивальной бабкой, повивать, принимать, лекарить, знахарить, принимать детей;
*babitjь:	виноградная лоза плодоносящая разновидностью черного винограда, бабий угодник, прихвостень, птица пеликан, бабник, неженка, самец стрекозы;
*bablati sę:	пачкаться, копаться в чем-либо, перемешивать, путать, возиться, полоскать, мочить в воде, копаться руками в чем-либо (жидком, мягком, например в тесте);
*baboniti/*babuniti:	говорить густым гортанным голосом, бубнить, греметь, гудеть, бесцельно ходить туда-сюда (особенно в потемках), бестолково искать что-либо, мотаться, колдовать, говорить громко но невнятно, гадать, предсказывать что-нибудь, ворожить;
*bаbоnъ/*bаbunъ/*bаbоnа:	тот у кого морщинистое лицо, богумил, член еретической секты в древней Болгарии, человек с морщинистым лицом, женщина со злыми глазами, мужчина похожий на бабу, старик, суеверие, наваждение, чары, колдовство, ворожба, болтовня о чудесах и вера в них;
*babotati:	издавать гул, стучать зубами от холода страха или лихорадки, болтать;
*babrati(sę):	возиться, рыться, канителиться, копаться (руками) в чем-либо, пачкать, делать плохо неумело, трогать, пачкаться, медленно и долго делать, загрязнять, плохо делать, рыть, разрывать, брать, захватывать, перебирать, приводить в беспорядок, говорить о чем-либо без толку без смысла, плескаться в воде, перебирать грязь песок, лезть вверх, беспорядочно двигать ногами (о ребенке), хватать, схватывать, говорить невнятно или невразумительно, пачкать, марать, выискивать что получше (о еде), копаться в нечистоте, заниматься грязной работой, болтать о чем угодно, морщиться;
*babriti(sę):	пачкать, пачкаться, мараться;
*babrotati:	пачкаться, возиться, шлепать, плескать(ся);
*babrotъ:	плеск;
*babrovъjь?:	бобровый;
*babuxa:	закутанная женщина, бабка, старуха, прабабка, повивальная бабка, женщина, баба;
*babura:	зеленый сладкий перец (круглом формы), крупная игла, овца с плохими зубами, вид маленькой рыбки, червяк, насекомое, какой-то рак, нарост, шишка, часть дверного запора, вид жабы , божья коровка, жаба, растение, коробка, червь, сережки вербы, рыба, бабочка, особый род мелкой рыбы, чашка, свинячьи лодыжки, маленькие игорные бабки, старуха, старая баба (презр.), бабища;
*bаburъ:	улитка, гриб строчок, обыкновенный ерш;
*babuša:	баба, старуха (грубо), коробка, червь, бабушка, глупая баба, закутанная баба, старушка, гусь, гусыня, название растения, бабка;
*babušьka:	бабушка, старуха, больная овца (с большим животом), кокон, рыба, какое-то растение, вид лесной травы с широкими мшистыми листьями которую очень любят свиньи, вид бурьяна с округлыми мшистыми листьями, ослабевшее животное, выродившиеся плоды сливы, сладкий перец, крупная игла, вид небольшой пузатой рыбки, насекомое, шишка, орешек, дубовый орешек, червь определенного вида, старушка, гусыня, мать-и-мачеха, зубчатые кружева, мать отца или матери, пожилая женщина, повитуха, оспина, всякая болячка у детей, пятна в натуральной оспе, игрушки;
*bаbъkа:	старая мелкая монета, раковина которая идет на ожерелья, пуговица (из морской раковины), золотая монета, самка дикой свиньи, глиняный свисток, зоб, глотка, гортань, горло, свинка (болезнь), шишка, опухоль , ком, старинная монета, подпорка, наковаленка для отбивки косы, перекладина, седельная лука, груда битого камня для поддержания дороги в исправном состоянии, вид морской рыбы, название различных мелких животных и паразитов, растение, пучок шерсти, яма, старушка, бабка, кукла, кости ног у телят и овец, баба, повитуха, знахарка, изделие из теста, жук, стебель, пенек или корень, наковаленка, брусок для отбивки косы (серпа), железная петля для крючка на двери, старушка, небольшое темное облачко, старое дерево, бесценок, старушка-мать, петля на одежде, железная щеколда, пучок чесаного льна, углубление в конце или на боку вареного яйца, пчела, повивальная бабка, надкопытный сустав ноги у животных, кость этого сустава, ящерица, белый гриб, растение попутник подорожник, бабочка, насекомое, опора, столбик, стрекоза, игральная кость из ступни животного, узенький круглый ремешок связывающий две основные части цепа, кушанье из запеченного в высокой посуде тертого картофеля, сдобная булка, хлеб из гречневой муки, кушанье из вареного мятого картофеля, запеканка из рисовой или другой каши, пенка на кипяченом молоке, петля к крючку которым застегивают одежду, петля на пуговицу, восковая моль, бабушка;
*bаbъkъ:	рукоятка косы, насекомое, божья коровка, перекладина, мелкие стеклянные монисты;
*babyka:	растение, вид явора, заика;
*bаbьсь:	старуха, старая баба, крупный орех, бабник, трус, кукла, растение, баба, дед, старик, головастик, подкаменщик;
*bаbьjь:	принадлежащий бабке (старухе), старушечий, бабий, женский, бабий, бабушкин;
*bаbьnikъ:	род свиной колбасы, бабник, вид шалфея, форма для выпечки теста, бабий угодник, прихвостень, волокита;
*babьskъjь:	бабий, старушечий, знахарский, женский, бабский, бабушкин;
*bacati(sę)/*bocati(sę):	целовать, щелкать пальцем по голове, колоть, покалывать, толкать, бить, пачкаться, грязниться, бодать, бросать, метать, стрелять, злиться, ползти на четвереньках, медленно идти, прорастать, пинать, ударять, бухать, хлопать, бить со стуком, ударяя производить сильный, резкий отрывистый звук, стрелять, колотить, стучать по полу при ходьбе, громко стучать, сбивать, бацать, ударять лбом (о баране);
*baciti:	поцеловать, бросить, выстрелить, ударить, делать что-либо;
*bacnǫti/*bocnǫti:	поцеловать, чмокнуть, щелкнуть, кольнуть, уколоть, приколоть, прикрепить, толкнуть, пихнуть, ударить, выстрелить, упасть с высоты, упасть с грохотом, швырнуть, упасть, свалиться, ударить челом, удариться обо что-либо, ушибиться, упасть с шумом;
*bačęgъ?/*bočęg?:	заливаемая весеннею водою ложбина, лужицы от дождя, небольшие ямы, пруды постоянно наполненные водой, глубокая лужа, колдобина, ямина залитая водою, омут, большая ямина шире и глубже впадающей в нее речки или ручья;
*bаčiti?:	говорить, разговаривать, сказывать, рассказывать, понимать, слышать, шуметь, шумно разговаривать;
*badadlo:	хирургический зонд, острие, колючка;
*badakъ:	большой чертополох, чертополох, волчец;
*badati(sę):	колоть, ощущать острую боль, колоться, бодаться, силиться припомнить, сказать, сделать что-нибудь, ковыряться, медленно работать (обычно о шитье, вышивании), покалывать, бодать, идти потихоньку, прорастать, плохо работать, испытывать, исследовать, колоть (острым орудием), жалить, закалывать ножом (поросенка), идти мелкими шажками, подталкивать, идти кое-как, убеждаться наощупь присматриваясь прислушиваясь, толкать, бодать, размышлять, ударять, колоть рогами (о рогатом скоте), лить (воду), пачкаться, мараться, возиться в грязи, пачкать (о краске), ходить без дела, болтаться, допытываться, доискиваться, углубляться во что-либо, заниматься, стараться, превозмогать трудности, перебиваться, скитаться, шляться;
*badoriti?/ *baduriti?:	обманывать, подталкивать, подзадоривать, подначивать, болтать, болтать небылицы, казаться;
*badъ:	заостренный стержень;
*bаdъlь:	травянистое растение, острый железный наконечник которым погоняют волов, колючка (ежа), овод, рыба, то чем погоняют волов, глазная болезнь, высокое тернистое растение, стебель, ствол;
*badylь:	железная лопата, растение, заступ для рытья земли, перо лука, стебель кукурузы, стебель без листьев, сухой ствол, стебель, трость, былинка, бодливый;
*badylьje:	стебли, былинки, ботва, сухие стебли от соломы;
*bagati:	догадываться, сильно желать, хотеть, захотеть, пожелать;
*bagatьje:	огонь, горящие угли, костер, горящее уголье, пламя;
*bagna/bagn'a:	растение короставник полевой, то же что багун, заросли багульника, дорога, тропа выстланная по раде (болоту) бревешками, бревенчатая мостовая, мостовинник, грязь в поле, топь, болото;
*bagnatъjь:	болотистый;
*bagnĕti:	делаться болотистым, тинистым, топким;
*bagnistъjь:	болотистый, топкий, низкий, мокрый, тинистый, илистый;
*bagnišče:	болотистое место, большое болото, болото;
*bagniti?:	делать болотистым, гноиться (о ране, язве), мостить бревнами дорогу на раде (болоте), сильно топить, топить жарко (печь), сильно идти (о дожде), долго и больно бить;
*bagnitъjь:	болотистый, топкий;
*bagno:	болото, топь, большое болото, тина на дне тихих рек потоков и болот, ил, растение багульник болотный, трясина, багульник, грязь, низкое и топкое место, глубокая грязь, болотистая местность, беспорядок, мусор, сенокос;
*bagnǫti:	жаждать, вожделеть, сильно желать, хотеть;
*bagnъ:	болото при ключе, растение багун, багульник, зоря, багульник болотный, болото, кустарник багульник;
*bagnъka:	вид болотного травянистого растения, пресноводное животное, вид болотной травы, лужа;
*bagnьcь?:	растение крапива;
*bagnьje:	болото;
*bagnьnъjь:	болотный;
*bagotiti?/*bagъtiti?:	стремиться, жаждать, сильно желать, стараться, желать;
*bagǫtьnъjь:	жадный;
*bagra:	краска, цвет, окраска, пурпур, багрянец, мазь которой смазывают сети чтобы они не рвались от сухости, растение, красная краска, вид морской рыбы;
*bag(ъ)rĕnъ(jь):	багряный, тёмнокрасный, пурпурный, багряный, акация;
*bag(ъ)riti:	окрашивать в пурпурный цвет, красить, окрашивать, строить, красить (в красный цвет), багрянить, румянить, красить в пурпурный цвет;
*bagro:	часть колеса, багор, металлический наконечник багра, косяк, часть составного обода колеса, обод колеса;
*bagrovъjь:	багровый, пурпурный;
*bag(ъ)rъ I:	багрец, багряница, порфира, багряный;
*bag(ъ)rъ II:	деревянная гнутая часть колеса, выгнутые кирпичи идущие на постройку печей, верхний подвижный мельничный жернов, багор (длинный деревянный шест на который насажен железный наконечник с острием и крюком), косяк колесного обода;
*bagrьcь:	пурпурная краска, пурпур;
*bagti:	хотеть, желать;
*bagъvinьje:	род водорослей, водоросли, тина;
*bagъvьnikъ:	название растения, растение баговник, небольшой ядовитый кустарник резкий запах которого вызывает головную боль, болиголов, то же что багульник;
*bagy:	тундры, болота, болотистая низменность, топь;
*bахаčь:	хвастун, все пузатое толстое;
*bахаrь:	сказочник, говорун, краснобай, знахарь, любовник;
*baxati:	топать, хвастать, бить, ударять, колотить, бахать, стучать, хлопать, стрелять, толкать;
*bахаtъ(jь):	гордый, надменный, хвастливый, толстый, пузатый;
*baxnǫti:	явиться как снег на голову, ударить, ударить с шумом, бахнуть, упасть, выстрелить (из ружья), толкнуть;
*baxora:	сказка, басня, выдумка, побасенка, ребенок только еще начинающий говорить, набухшая слива, разговорчивый человек, балагур, тот кто хвастается бахвалится, знахарь, знахарка
*baxorica:	колдунья, знахарка, вид колбасы;
*baxoriti:	колдовать, заговаривать (болезнь, горе), хвастать, болтать, говорить, разговаривать, беседовать, сплетничать, наряжаться, говорить попусту, ворожить, гадать;
*bахоrъ:	прямая кишка (свиньи, нафаршированная как колбаса), круглый сосуд с узким горлышком для водки, кровавая колбаса, колдун, живот, часть внутренностей животного, передний желудок у жвачных, брюхо (у человека), самая большая часть желудка у жвачных, внутренности животного, пузо (человека), что-либо выпуклое, полость чего-либо, толстощекий мальчик;
*bахunъ:	хвастун, крикун;
*bахъ?:	гордец, шум, грохот, говорун, краснобай;
*baxъtati:	крякать (об утках), болтать, хвастать, важничать;
*baxъtĕti?:	пугать, бахвалиться, гордиться;
*baxъtъ?:	шум, грохот, топот;
*baja/*bajь:	чары, сглаз, колдовство, заклинание, миф, басня, фантазия, прозвище веселой говорливой женщины рассказчицы;
*bajačь:	знахарь, колдун, тот кто рассказывает басни небылицы;
*bajadlica:	колдунья, знахарка;
*bajadlo:	колдун, то же что баюн, говорун, рассказчик;
*bajadlьcь:	колдун, знахарь;
*bajadlьnica:	плутовка;
*bajadlьlьnikъ:	плут, мошенник;
*bajadlьnъ:	колдовской, волшебный;
*bajanъ?:	обаятель, певец, то же что баюн, говорун, рассказчик;
*bajati I:	шептать заговоры, заклинания (о знахаре, колдуне), рассказывать, лечить (заговорами), словно, как будто, кажется, колдовать, ворожить, заговаривать (болезнь, горе), болтать, предсказывать, гадать, говорить (небылицы, вздор), выдумывать, рассказывать (сказки, басни, небылицы, выдумки), обаять;
*bajati(sę) II:	незаметно гореть, тлеть, мерцать;
*bajidlo:	колдовство, заговор;
*bajidlьja:	знахарка, шептуха;
*bajiti:	зевать, произносить с зевотой, сочинять, фантазировать, вымышлять, грезить, мечтать, тосковать, говорить, разговаривать, рассказывать, манить, приманивать, рассказывать сказки;
*bajunъ:	баюн, говорун, краснобай;
*bajь:	ворожба, колдовство, очарование, чары, миф, фантазия, легенда, сказание, веселый рассказчик, говорун, речь, способность говорить, знахарь, колдун, сказочник, забава, развлечение, веселье;
*bajьda:	болтун, враль, гуляка, беспечный человек, прозвище неуклюжей женщины, краюха, ломоть хлеба, болтать, нести вздор, болтать вздор, говорить чепуху, бездельничать, бить баклуши;
*bajьka:	сказка, басня, выдумка, ворожба, заговоры, неправда, байка, говор, безделица, шутка, пустяки;
*bajьnъ(jь):	очаровательный, упоительный, сказочный, баснословный, легендарный, мифический, устный, таинственный, прекрасный, великолепный, фантастический;
*bakati:	ссорить, натравливать, много болтать о пустяках,(весело) кричать, ругать, говорить, разговаривать, беседовать, пустословить, сказать что-либо тихо, сообщить что-либо не вовремя, обидно выражаться, сильно ударить о землю, буркнуть;
*bакоšь?:	большая корзина куда складывают яйца подаренные на рождество;
